Xiè xiè nǐ,谢谢你,Thanks you
Xiè,谢,Thank
Zhōng,中,middle
Pá shān,爬山,Climb Mountain
Pá,爬,Climb
Shān,山,Mountain
Xióngmāo,熊猫,Panda
xiong,熊,Bear
Yún,云,cloud
Rén,人,people
Chuán,船,boat
chuang,床,bed
Chī,吃,eat
Rè,热,it's hot
Bīngxiāng,冰箱,Fridge
Bīng,冰,ice
xiāng,箱,Box
Jīdàn,鸡蛋,egg
Sījī,司机,driver
Sī,司,manage
Zúqiú,足球,football
Zú,足,foot
qiú,球,ball
Jīchǎng,机场,Airport
chǎng,场,field
Yéyé,爷爷,grandfather
Nǎinai,奶奶,Grandmother
Bàba,爸爸,Father
Zhuōzi,桌子,table
Fángzi,房子,House
Yǐzi,椅子,Chair
Guìzi,柜子,cabinet
Tāmen,他们,them
Rénmen,人们,people
Dìdì,弟弟,younger brother
Yīfú,衣服,clothing
Érzi,儿子,son
Rènshí,认识,know
Rèn,认,recognize
shí,识,knowledge
Péngyǒu,朋友,friend
