Xià wǔ,下午,afternoon
Xià,下,Down
wǔ,午,Noon
Dì yī,第一,First
Dì,第,The first
yī,一,One
Yěxǔ,也许,Maybe
Yě,也,Also
xǔ,许,Allow
Pǎobù,跑步,Run
Pǎo,跑,Run
bù,步,Step
Huídá,回答,answer
Huí,回,back
Tiàowǔ,跳舞,Dance
Tià,跳,Jump
Yīqǐ,一起,Together
qǐ,起,Rise
Kuàilè,快乐,Happiness
Kuài,快,quick
Qítā,其他,other
Qí,其,That
Lǐwù,礼物,Gift
Lǐ,礼,present
wù,物,thing
Jīhuì,机会,Opportunity
huì,会,Can - able to
Líkāi,离开,Leave
Fùxí,复习,Review
Fù,复,complex
xí,习,habit
Dìtiě,地铁,subway
Dì,地,earth - Ground - soil
tiě,铁,iron
Àihào,爱好,Hobby
Ài,爱,Love
hǎo,好,Okay
Jiēdào,街道,received
Jiē,接,catch
dào,到,arrive
Bù kèqì,不客气,You are welcome
Zàijiàn,再见,goodbye
Zài,再,Again
jiàn,见,See
Dǎkāi shū,打开书,open the book
Dǎkāi,打开,Open
shū,书,book
Qǐng dàshēng dú,请大声读,please read aloud
Qǐng,请,Please
dàshēng,大声,loud
dà,大,Big
shēng,声,Voice
dú,读,read
Zài dú yībiàn,再读一遍,read it again
Zài,再,Again
dú,读,read
yībiàn,一遍,once
yī,一,one
biàn,遍,all over
Yīqǐ dú,一起读,read together
Yǒu wèntí ma?,有问题吗?,Any questions
Yǒu,有,have
wèntí,问题,question
Xiè xiè nǐ Bù kèqì,谢谢你 不客气,Thanks you You are welcom
